id,incident_description,accident_location_id,policy_id,accident_date,description,severity,surveyor_id,vehicle_id
253,Parking dent,253,253,2020-02-23 20:25:58,Scratches and dents,High,253,253
254,Broken windshield,254,254,2024-02-18 04:04:50,Scratches and dents,Medium,254,254
255,Side-swipe,255,255,2023-02-14 15:11:32,Engine stalled in water,Low,255,255
256,Rear-end collision,256,256,2022-11-19 08:30:49,Windshield cracked,Low,256,256
257,Theft report,257,257,2021-10-15 06:36:11,Minor damage to bumper,Low,257,257
258,Side-swipe,258,258,2024-02-08 20:01:58,Minor damage to bumper,High,258,258
259,Side-swipe,259,259,2025-02-20 12:48:54,Scratches and dents,Medium,259,259
260,Side-swipe,260,260,2022-08-03 07:26:42,Minor damage to bumper,Low,260,260
261,Parking dent,261,261,2025-09-16 08:21:56,Minor damage to bumper,Low,261,261
262,Theft report,262,262,2022-07-07 04:49:04,Minor damage to bumper,Low,262,262
263,Side-swipe,263,263,2020-12-28 09:09:16,Windshield cracked,Low,263,263
264,Flood damage,264,264,2024-05-28 12:59:46,Engine stalled in water,Medium,264,264
265,Flood damage,265,265,2021-05-07 02:23:46,Windshield cracked,High,265,265
266,Side-swipe,266,266,2021-11-04 01:12:07,Windshield cracked,Low,266,266
267,Parking dent,267,267,2022-11-23 12:30:12,Windshield cracked,Medium,267,267
268,Parking dent,268,268,2023-02-07 15:02:23,Scratches and dents,Low,268,268
269,Theft report,269,269,2025-12-12 17:39:30,Engine stalled in water,Medium,269,269
270,Side-swipe,270,270,2023-07-13 22:14:30,Minor damage to bumper,Low,270,270
271,Theft report,271,271,2022-12-16 00:33:48,Engine stalled in water,High,271,271
272,Parking dent,272,272,2022-12-05 22:23:35,Significant front-end damage,Medium,272,272
273,Flood damage,273,273,2021-10-15 06:12:08,Significant front-end damage,Low,273,273
274,Theft report,274,274,2021-02-20 15:41:40,Windshield cracked,Medium,274,274
275,Side-swipe,275,275,2021-03-24 15:06:11,Significant front-end damage,Medium,275,275
276,Flood damage,276,276,2021-11-29 05:58:22,Significant front-end damage,High,276,276
277,Rear-end collision,277,277,2025-08-07 12:19:57,Minor damage to bumper,Low,277,277
278,Rear-end collision,278,278,2022-06-17 13:27:26,Significant front-end damage,Low,278,278
279,Rear-end collision,279,279,2022-07-13 22:38:09,Engine stalled in water,Low,279,279
280,Broken windshield,280,280,2024-11-17 20:40:00,Scratches and dents,High,280,280
281,Parking dent,281,281,2022-01-03 08:34:53,Scratches and dents,Low,281,281
282,Flood damage,282,282,2023-05-26 08:08:38,Minor damage to bumper,Medium,282,282
283,Side-swipe,283,283,2021-08-09 20:29:31,Windshield cracked,Medium,283,283
284,Flood damage,284,284,2022-04-03 07:52:41,Engine stalled in water,High,284,284
285,Side-swipe,285,285,2022-07-22 18:01:34,Scratches and dents,High,285,285
286,Rear-end collision,286,286,2024-11-14 17:07:49,Engine stalled in water,High,286,286
287,Broken windshield,287,287,2024-04-01 12:08:58,Minor damage to bumper,High,287,287
288,Rear-end collision,288,288,2022-12-23 01:23:07,Significant front-end damage,Low,288,288
289,Flood damage,289,289,2020-09-23 16:31:13,Windshield cracked,Medium,289,289
290,Broken windshield,290,290,2022-01-20 05:23:05,Scratches and dents,High,290,290
291,Rear-end collision,291,291,2024-05-15 15:09:11,Minor damage to bumper,Medium,291,291
292,Flood damage,292,292,2021-03-28 10:59:34,Minor damage to bumper,High,292,292
293,Side-swipe,293,293,2024-01-11 10:00:56,Significant front-end damage,High,293,293
294,Theft report,294,294,2020-03-15 06:40:16,Minor damage to bumper,High,294,294
295,Parking dent,295,295,2023-09-02 11:36:01,Windshield cracked,High,295,295
296,Broken windshield,296,296,2021-02-19 23:43:08,Significant front-end damage,Medium,296,296
297,Rear-end collision,297,297,2025-07-12 06:34:35,Engine stalled in water,High,297,297
298,Rear-end collision,298,298,2024-08-26 01:49:47,Windshield cracked,High,298,298
299,Theft report,299,299,2025-08-12 01:00:10,Scratches and dents,Low,299,299
300,Rear-end collision,300,300,2021-08-26 03:23:58,Windshield cracked,Medium,300,300
301,Flood damage,301,301,2020-04-21 14:13:03,Windshield cracked,High,301,301
302,Side-swipe,302,302,2024-05-30 18:43:14,Minor damage to bumper,Low,302,302
303,Flood damage,303,303,2023-04-21 05:39:56,Scratches and dents,High,303,303
304,Side-swipe,304,304,2024-06-16 10:16:03,Scratches and dents,Low,304,304
305,Rear-end collision,305,305,2022-11-27 17:36:58,Engine stalled in water,High,305,305
306,Flood damage,306,306,2020-11-04 15:29:19,Scratches and dents,Medium,306,306
307,Broken windshield,307,307,2025-03-03 20:08:16,Engine stalled in water,High,307,307
308,Side-swipe,308,308,2024-05-23 05:35:10,Significant front-end damage,Medium,308,308
309,Flood damage,309,309,2020-07-10 13:01:59,Significant front-end damage,Medium,309,309
310,Parking dent,310,310,2020-10-11 15:20:54,Minor damage to bumper,Low,310,310
311,Broken windshield,311,311,2025-12-25 02:16:43,Minor damage to bumper,Medium,311,311
312,Theft report,312,312,2022-05-15 00:25:30,Windshield cracked,Low,312,312
313,Flood damage,313,313,2022-02-24 18:37:11,Engine stalled in water,High,313,313
314,Rear-end collision,314,314,2023-01-15 21:14:43,Scratches and dents,Low,314,314
315,Rear-end collision,315,315,2020-05-15 16:08:53,Significant front-end damage,Low,315,315
316,Broken windshield,316,316,2023-12-13 22:36:28,Significant front-end damage,Low,316,316
317,Theft report,317,317,2023-09-02 06:38:33,Significant front-end damage,Low,317,317
318,Side-swipe,318,318,2020-12-14 15:42:23,Minor damage to bumper,Medium,318,318
319,Rear-end collision,319,319,2022-07-12 10:04:59,Windshield cracked,Medium,319,319
320,Side-swipe,320,320,2021-10-18 23:46:02,Engine stalled in water,Medium,320,320
321,Theft report,321,321,2024-07-09 01:18:29,Significant front-end damage,High,321,321
322,Theft report,322,322,2020-02-04 11:02:08,Engine stalled in water,Low,322,322
323,Side-swipe,323,323,2024-06-18 12:10:55,Engine stalled in water,Low,323,323
324,Theft report,324,324,2025-02-28 03:36:59,Minor damage to bumper,Low,324,324
325,Side-swipe,325,325,2021-11-08 14:30:58,Engine stalled in water,Low,325,325
326,Parking dent,326,326,2020-05-18 12:25:59,Windshield cracked,High,326,326
327,Theft report,327,327,2020-02-28 09:38:44,Significant front-end damage,High,327,327
328,Flood damage,328,328,2023-06-07 14:47:36,Engine stalled in water,Medium,328,328
329,Parking dent,329,329,2025-09-29 18:39:30,Minor damage to bumper,High,329,329
330,Rear-end collision,330,330,2022-07-01 18:16:43,Scratches and dents,Low,330,330
331,Broken windshield,331,331,2023-02-20 05:29:26,Scratches and dents,Low,331,331
332,Flood damage,332,332,2025-11-19 02:52:56,Engine stalled in water,Low,332,332
333,Theft report,333,333,2022-08-04 07:17:57,Engine stalled in water,Low,333,333
334,Parking dent,334,334,2024-06-28 17:28:07,Windshield cracked,Low,334,334
335,Broken windshield,335,335,2023-05-13 09:50:24,Scratches and dents,Medium,335,335
336,Side-swipe,336,336,2023-07-07 23:25:58,Scratches and dents,High,336,336
337,Flood damage,337,337,2020-07-03 00:13:59,Scratches and dents,High,337,337
338,Broken windshield,338,338,2021-01-12 02:16:14,Windshield cracked,Low,338,338
339,Parking dent,339,339,2021-07-13 08:02:02,Significant front-end damage,Low,339,339
340,Parking dent,340,340,2021-12-28 12:25:23,Engine stalled in water,High,340,340
341,Side-swipe,341,341,2020-11-12 13:06:22,Engine stalled in water,High,341,341
342,Theft report,342,342,2020-11-23 21:07:11,Windshield cracked,Low,342,342
343,Rear-end collision,343,343,2021-05-02 12:58:34,Minor damage to bumper,Low,343,343
344,Rear-end collision,344,344,2020-10-20 07:35:50,Minor damage to bumper,Low,344,344
345,Broken windshield,345,345,2025-01-10 20:46:05,Significant front-end damage,Medium,345,345
346,Rear-end collision,346,346,2023-01-02 14:38:51,Significant front-end damage,Medium,346,346
347,Side-swipe,347,347,2024-12-26 08:59:58,Windshield cracked,Low,347,347
348,Side-swipe,348,348,2020-02-07 17:18:43,Significant front-end damage,Low,348,348
349,Broken windshield,349,349,2020-04-18 09:05:26,Engine stalled in water,High,349,349
350,Theft report,350,350,2022-08-17 02:24:41,Windshield cracked,Medium,350,350
351,Rear-end collision,351,351,2024-08-23 07:58:31,Minor damage to bumper,Medium,351,351
352,Parking dent,352,352,2022-12-01 16:28:32,Engine stalled in water,Medium,352,352
353,Side-swipe,353,353,2022-03-01 14:41:46,Minor damage to bumper,Low,353,353
354,Theft report,354,354,2022-05-31 11:03:52,Minor damage to bumper,High,354,354
355,Broken windshield,355,355,2024-05-13 13:51:33,Minor damage to bumper,High,355,355
356,Theft report,356,356,2022-06-28 08:20:04,Scratches and dents,Low,356,356
357,Broken windshield,357,357,2024-06-21 12:49:29,Scratches and dents,High,357,357
358,Rear-end collision,358,358,2025-07-08 02:38:11,Scratches and dents,Low,358,358
359,Flood damage,359,359,2020-06-03 18:03:33,Engine stalled in water,High,359,359
360,Theft report,360,360,2021-01-22 17:37:07,Scratches and dents,High,360,360
361,Broken windshield,361,361,2023-08-14 19:53:31,Scratches and dents,High,361,361
362,Rear-end collision,362,362,2024-07-29 19:13:52,Engine stalled in water,High,362,362
363,Theft report,363,363,2023-07-06 07:09:01,Windshield cracked,Medium,363,363
364,Theft report,364,364,2021-07-24 14:38:16,Significant front-end damage,High,364,364
365,Theft report,365,365,2021-01-26 04:54:05,Scratches and dents,Medium,365,365
366,Side-swipe,366,366,2022-08-30 03:15:16,Windshield cracked,Medium,366,366
367,Flood damage,367,367,2020-04-20 11:08:36,Windshield cracked,Medium,367,367
368,Rear-end collision,368,368,2023-06-25 05:09:00,Significant front-end damage,Low,368,368
369,Parking dent,369,369,2025-04-19 04:39:25,Scratches and dents,Medium,369,369
370,Broken windshield,370,370,2025-05-16 00:53:16,Scratches and dents,Medium,370,370
371,Rear-end collision,371,371,2021-10-22 04:06:31,Minor damage to bumper,Medium,371,371
372,Rear-end collision,372,372,2023-01-01 18:02:48,Scratches and dents,Low,372,372
373,Theft report,373,373,2025-03-18 04:40:17,Minor damage to bumper,Low,373,373
374,Rear-end collision,374,374,2020-09-23 10:26:17,Engine stalled in water,Low,374,374
375,Side-swipe,375,375,2022-02-08 08:26:12,Scratches and dents,Low,375,375
376,Flood damage,376,376,2024-11-11 13:28:37,Engine stalled in water,Low,376,376
377,Side-swipe,377,377,2025-04-15 22:34:37,Scratches and dents,Medium,377,377
378,Rear-end collision,378,378,2022-09-28 07:06:34,Significant front-end damage,High,378,378
379,Side-swipe,379,379,2025-04-13 06:41:49,Minor damage to bumper,Low,379,379
380,Flood damage,380,380,2025-01-11 13:59:05,Windshield cracked,Low,380,380
381,Theft report,381,381,2021-02-26 00:59:57,Significant front-end damage,Low,381,381
382,Parking dent,382,382,2020-08-15 06:34:04,Windshield cracked,High,382,382
383,Rear-end collision,383,383,2020-12-02 19:58:46,Minor damage to bumper,Medium,383,383
384,Theft report,384,384,2020-07-02 10:43:32,Minor damage to bumper,Low,384,384
385,Broken windshield,385,385,2025-05-28 18:17:42,Minor damage to bumper,Low,385,385
386,Flood damage,386,386,2025-09-19 16:21:27,Scratches and dents,Low,386,386
387,Rear-end collision,387,387,2025-08-27 05:03:53,Windshield cracked,High,387,387
388,Rear-end collision,388,388,2023-05-09 19:36:04,Engine stalled in water,Low,388,388
389,Parking dent,389,389,2023-10-09 21:36:30,Windshield cracked,Medium,389,389
390,Parking dent,390,390,2025-12-27 10:56:41,Windshield cracked,High,390,390
391,Rear-end collision,391,391,2020-06-10 03:28:47,Windshield cracked,Medium,391,391
392,Broken windshield,392,392,2020-02-15 21:03:58,Significant front-end damage,Medium,392,392
393,Flood damage,393,393,2023-10-16 04:03:13,Engine stalled in water,High,393,393
394,Parking dent,394,394,2022-07-15 21:10:24,Scratches and dents,Medium,394,394
395,Flood damage,395,395,2024-02-16 17:14:48,Scratches and dents,High,395,395
396,Broken windshield,396,396,2025-02-16 14:55:42,Minor damage to bumper,High,396,396
397,Rear-end collision,397,397,2025-09-07 10:17:43,Significant front-end damage,Low,397,397
398,Theft report,398,398,2020-04-22 12:36:16,Significant front-end damage,Low,398,398
399,Flood damage,399,399,2024-07-01 13:59:13,Engine stalled in water,Low,399,399
400,Theft report,400,400,2023-12-27 05:25:43,Engine stalled in water,Medium,400,400
401,Rear-end collision,401,401,2023-10-26 16:10:37,Scratches and dents,Low,401,401
402,Flood damage,402,402,2023-04-30 04:18:30,Windshield cracked,High,402,402
403,Broken windshield,403,403,2023-08-16 19:26:43,Windshield cracked,Medium,403,403
404,Side-swipe,404,404,2025-09-23 03:57:14,Minor damage to bumper,Medium,404,404
405,Flood damage,405,405,2022-07-03 23:44:19,Scratches and dents,High,405,405
406,Broken windshield,406,406,2022-04-28 01:17:51,Minor damage to bumper,Medium,406,406
407,Flood damage,407,407,2020-05-24 13:24:33,Windshield cracked,Medium,407,407
408,Side-swipe,408,408,2025-07-24 12:40:29,Engine stalled in water,Low,408,408
409,Broken windshield,409,409,2023-10-11 02:26:25,Minor damage to bumper,Low,409,409
410,Broken windshield,410,410,2021-05-27 23:20:54,Engine stalled in water,High,410,410
411,Theft report,411,411,2025-01-16 08:16:39,Engine stalled in water,Low,411,411
412,Parking dent,412,412,2025-06-14 07:41:30,Engine stalled in water,Medium,412,412
413,Flood damage,413,413,2021-09-15 06:50:47,Scratches and dents,Low,413,413
414,Flood damage,414,414,2021-09-10 11:20:08,Minor damage to bumper,Medium,414,414
415,Theft report,415,415,2021-05-12 15:24:04,Significant front-end damage,High,415,415
416,Theft report,416,416,2023-11-25 19:43:42,Minor damage to bumper,Low,416,416
417,Side-swipe,417,417,2023-04-09 23:54:10,Significant front-end damage,High,417,417
418,Rear-end collision,418,418,2024-10-24 05:13:44,Minor damage to bumper,High,418,418
419,Side-swipe,419,419,2021-11-27 16:00:37,Scratches and dents,High,419,419
420,Broken windshield,420,420,2025-04-12 03:53:34,Minor damage to bumper,Medium,420,420
421,Flood damage,421,421,2022-10-06 23:53:36,Windshield cracked,Low,421,421
422,Theft report,422,422,2020-08-09 14:51:38,Engine stalled in water,Medium,422,422
423,Side-swipe,423,423,2022-12-11 19:44:03,Significant front-end damage,High,423,423
424,Broken windshield,424,424,2023-09-25 13:00:31,Windshield cracked,Low,424,424
425,Side-swipe,425,425,2020-04-11 15:05:10,Windshield cracked,High,425,425
426,Rear-end collision,426,426,2025-05-14 14:29:49,Windshield cracked,High,426,426
427,Rear-end collision,427,427,2020-01-12 22:07:30,Engine stalled in water,Low,427,427
428,Side-swipe,428,428,2023-06-20 08:53:48,Scratches and dents,High,428,428
429,Parking dent,429,429,2024-11-23 06:11:16,Significant front-end damage,Medium,429,429
430,Parking dent,430,430,2021-02-28 15:46:35,Windshield cracked,High,430,430
431,Side-swipe,431,431,2024-08-04 17:51:25,Significant front-end damage,Low,431,431
432,Rear-end collision,432,432,2025-11-09 05:21:08,Significant front-end damage,Low,432,432
433,Theft report,433,433,2021-06-12 14:31:41,Minor damage to bumper,High,433,433
434,Theft report,434,434,2023-09-14 11:34:29,Windshield cracked,High,434,434
435,Parking dent,435,435,2023-11-06 19:36:23,Minor damage to bumper,Medium,435,435
436,Rear-end collision,436,436,2023-04-01 20:53:50,Engine stalled in water,Medium,436,436
437,Flood damage,437,437,2025-11-23 19:03:35,Engine stalled in water,Low,437,437
438,Side-swipe,438,438,2022-05-05 03:25:01,Windshield cracked,Low,438,438
439,Parking dent,439,439,2024-03-11 17:21:47,Scratches and dents,Medium,439,439
440,Side-swipe,440,440,2021-04-06 22:19:45,Windshield cracked,High,440,440
441,Theft report,441,441,2020-08-14 18:20:53,Windshield cracked,High,441,441
442,Parking dent,442,442,2023-07-30 18:11:14,Minor damage to bumper,Medium,442,442
443,Rear-end collision,443,443,2020-01-09 15:46:36,Minor damage to bumper,Medium,443,443
444,Rear-end collision,444,444,2021-03-20 22:00:53,Significant front-end damage,Low,444,444
445,Broken windshield,445,445,2020-09-06 05:27:11,Engine stalled in water,High,445,445
446,Theft report,446,446,2020-05-24 07:51:14,Windshield cracked,Low,446,446
447,Flood damage,447,447,2020-06-04 07:38:29,Engine stalled in water,Medium,447,447
448,Side-swipe,448,448,2023-10-11 19:18:00,Engine stalled in water,Low,448,448
449,Flood damage,449,449,2020-08-26 19:42:01,Significant front-end damage,Medium,449,449
450,Flood damage,450,450,2024-01-07 08:33:25,Scratches and dents,High,450,450
451,Parking dent,451,451,2020-01-02 00:10:37,Windshield cracked,High,451,451
452,Theft report,452,452,2020-08-01 06:30:55,Minor damage to bumper,Medium,452,452
453,Parking dent,453,453,2024-07-15 17:03:18,Minor damage to bumper,Medium,453,453
454,Broken windshield,454,454,2023-11-15 06:02:06,Scratches and dents,Medium,454,454
455,Rear-end collision,455,455,2020-08-19 10:49:09,Scratches and dents,Low,455,455
456,Broken windshield,456,456,2023-09-23 11:32:30,Scratches and dents,Medium,456,456
457,Theft report,457,457,2020-05-21 15:53:18,Minor damage to bumper,Medium,457,457
458,Flood damage,458,458,2021-06-06 15:57:18,Minor damage to bumper,High,458,458
459,Broken windshield,459,459,2021-11-11 21:48:02,Windshield cracked,Low,459,459
460,Flood damage,460,460,2024-02-08 18:13:23,Windshield cracked,High,460,460
461,Broken windshield,461,461,2024-04-09 14:42:14,Windshield cracked,High,461,461
462,Side-swipe,462,462,2020-07-28 05:24:12,Windshield cracked,Medium,462,462
463,Broken windshield,463,463,2023-02-07 00:30:14,Significant front-end damage,High,463,463
464,Parking dent,464,464,2020-12-23 08:16:13,Windshield cracked,Low,464,464
465,Side-swipe,465,465,2025-12-14 23:17:32,Minor damage to bumper,High,465,465
466,Rear-end collision,466,466,2024-01-07 12:22:16,Significant front-end damage,High,466,466
467,Parking dent,467,467,2025-08-28 10:11:55,Scratches and dents,Low,467,467
468,Side-swipe,468,468,2023-03-08 22:07:08,Engine stalled in water,Medium,468,468
469,Parking dent,469,469,2023-12-17 11:39:21,Windshield cracked,High,469,469
470,Side-swipe,470,470,2022-02-16 21:43:46,Significant front-end damage,Low,470,470
471,Broken windshield,471,471,2020-12-27 09:59:16,Engine stalled in water,High,471,471
472,Parking dent,472,472,2020-01-09 01:56:22,Minor damage to bumper,Low,472,472
473,Rear-end collision,473,473,2021-06-11 06:13:35,Minor damage to bumper,Medium,473,473
474,Broken windshield,474,474,2024-08-21 13:26:22,Minor damage to bumper,High,474,474
475,Broken windshield,475,475,2020-05-11 04:17:11,Scratches and dents,Medium,475,475
476,Flood damage,476,476,2025-12-07 03:29:24,Windshield cracked,Medium,476,476
477,Rear-end collision,477,477,2024-11-21 16:55:55,Minor damage to bumper,High,477,477
478,Theft report,478,478,2025-03-27 23:17:56,Engine stalled in water,Medium,478,478
479,Parking dent,479,479,2022-08-08 07:21:53,Significant front-end damage,Medium,479,479
480,Broken windshield,480,480,2024-03-08 14:41:22,Significant front-end damage,Low,480,480
481,Rear-end collision,481,481,2023-08-17 09:26:10,Significant front-end damage,High,481,481
482,Theft report,482,482,2020-10-02 10:57:27,Scratches and dents,Low,482,482
483,Parking dent,483,483,2024-04-28 14:56:42,Engine stalled in water,High,483,483
484,Theft report,484,484,2021-07-03 02:02:28,Scratches and dents,High,484,484
485,Side-swipe,485,485,2020-11-27 20:12:20,Scratches and dents,Low,485,485
486,Side-swipe,486,486,2020-05-04 08:04:31,Windshield cracked,High,486,486
487,Flood damage,487,487,2020-06-02 01:08:04,Significant front-end damage,Medium,487,487
488,Flood damage,488,488,2025-11-11 19:57:48,Engine stalled in water,Low,488,488
489,Side-swipe,489,489,2023-06-06 19:12:49,Engine stalled in water,High,489,489
490,Parking dent,490,490,2025-07-07 17:44:00,Minor damage to bumper,High,490,490
491,Theft report,491,491,2025-11-30 03:06:59,Significant front-end damage,High,491,491
492,Broken windshield,492,492,2022-12-23 21:08:20,Minor damage to bumper,High,492,492
493,Parking dent,493,493,2025-05-30 08:18:49,Engine stalled in water,Medium,493,493
494,Flood damage,494,494,2022-08-04 23:43:44,Scratches and dents,High,494,494
495,Side-swipe,495,495,2021-06-21 17:45:38,Minor damage to bumper,Medium,495,495
496,Side-swipe,496,496,2025-03-28 14:54:53,Minor damage to bumper,High,496,496
497,Flood damage,497,497,2022-06-24 00:03:28,Engine stalled in water,Medium,497,497
498,Broken windshield,498,498,2024-06-07 20:51:59,Windshield cracked,Low,498,498
499,Rear-end collision,499,499,2023-10-26 12:24:01,Engine stalled in water,Low,499,499
500,Flood damage,500,500,2025-11-14 04:18:48,Windshield cracked,Medium,500,500
